Number,Reference,DOI,Year,Country_or_Region,Global South,Family,Networks,Links_EE,Links_SS,Links_SE,Links_detail,Nodes_EE,Nodes_SS,Mode,Weight
93,Harten et al 2018 ,10.1126/sciadv.1603293,2018,Israel,No,Pteropodidae,Not SEN,Social interactions,NA,NA,"Social, behavior",Females and males of Rousettus aegyptiacus,NA,One-mode,Weighted
94,Laurindo et al 2017,10.1016/j.actao.2017.06.009,2017,Brazil,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Frugivory,Bats and plants,NA,Two-mode,Weighted
95,Zeus et al 2018,10.1007/s00265-018-2516-4,2018,Germany,No,Vespertilionidae,Not SEN,Social interactions,NA,NA,"Social, behavior",Individuals of Myotis nattereri,NA,One-mode,Weighted
96,Wilkinson et al 2019,10.1007/s00265-018-2608-1,2019,Mexico and Costa Rica and Germany and Canada and USA and Caribbean,Yes,Emballonuridae and Phyllostomidae and Thyropteridae and Vespertilionidae,Not SEN,Social interactions,NA,NA,"Social, behavior",Females and males of bats,NA,One-mode,Weighted
97,Castano et al 2020,10.1016/j.actao.2020.103550,2020,Colombia,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Frugivory,Bats and plants,NA,Two-mode,Both
98,Hyzy et al 2020,10.3354/esr01004,2020,USA,No,Vespertilionidae,Not SEN,Use of space,NA,NA,"Social, shared roosts",Bats and roost,NA,Two-mode,Binary
99,Laurindo et al 2020,10.1007/s00442-020-04662-4,2020,Neotropical,Yes,Phyllostomidae,Not SEN,Mutualistic interactions,NA,NA,Seed dispersal,Bats and plants,NA,Two-mode,Weighted
100,Fricke et al 2018,10.1111/gcb.13832,2017,USA,No,Pteropodidae,Not SEN,Mutualistic interactions,NA,NA,Seed dispersal,Plants and frugivorous species including bats,NA,Two-mode,Weighted
101,Le Roux et al 2017,10.1007/s10980-017-0505-z,2017,France,No,Rhinolophidae,Not SEN,Use of space,NA,NA,Corridors,Foraging habitat patches and roost sites,NA,Two-mode,Weighted
102,Ripperger et al 2019,10.1016/j.cub.2019.10.024,2019,Panama,Yes,Phyllostomidae,Not SEN,Social interactions,NA,NA,"Social, behavior",Females of Desmodus rotundus and their offspring,NA,Two-mode,Weighted
103,Rodriguez-Herrera et al 2018,10.3161/15081109ACC2018.20.1.010,2018,Costa Rica,Yes,Phyllostomidae,Not SEN,Use of resource,NA,NA,Use of plant species as tents by bats,Bats and plants,NA,Two-mode,Binary
104,Nieto‐Rabiela et al 2019,10.1111/zph.12618,2019,Global ,Yes,Multifamily,Not SEN,Host-pathogen interactions,NA,NA,Viral sharing,Virus and hosts including bats,NA,Both,Binary
105,Rivera-García et al 2016,10.1017/S0031182016002390,2016,Mexico,Yes,Phyllostomidae and Molossidae and Vespertilionidae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies,NA,Two-mode,Weighted
106,Haelewaters et al 2017,10.1186/s13071-017-2022-y,2017,Romania and Hungary,No,Vespertilionidae and Miniopteridae and Rhinolophidae,Not SEN,Host-pathogen interactions,NA,NA,Ectoparasite infestation,Bats and bat flies and fungi,NA,Tripartite,Weighted
107,Hoyt et al 2018,10.1038/s41586-018-0720-z,2018,USA,No,Vespertilionidae,Not SEN,Social interactions,NA,NA,Physical contact or UVF dust,Individuals of Eptesicus fuscus and Myotis lucifugus and Myotis septentrionalis and Perimyotis subﬂavus,NA,One-mode,Binary
108,Andre et al 2019,10.1111/tbed.13290,2019,Brazil,Yes,Phyllostomidae,Not SEN,Evolutionary dynamics,NA,NA,Genetic relationship,Genotypes of Bartonella spp,NA,One-mode,Weighted
109,Bachorec et al 2020,10.1371/journal.pone.0229110,2020,Egypt,Yes,Pteropodidae,Not SEN,Use of space,NA,NA,"Social, shared foraging sites",Males and females of Rousettus aegyptiacus,NA,One-mode,Weighted
